mu,m_neg_4,m_neg_3,m_neg_2,m_neg_1,m_0,m_1,m_2,m_3,m_4
0.409015025041736,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.413188647746244,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.417362270450751,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.421535893155259,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.425709515859766,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.429883138564274,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.434056761268781,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.438230383973289,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.442404006677796,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.446577629382304,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.450751252086811,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.454924874791319,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.459098497495826,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.463272120200334,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.467445742904841,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.471619365609349,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.475792988313856,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.479966611018364,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.484140233722871,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.488313856427379,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.492487479131886,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.496661101836394,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.500834724540901,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.505008347245409,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.509181969949916,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.513355592654424,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.517529215358932,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.521702838063439,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.525876460767947,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.530050083472454,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.534223706176962,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.538397328881469,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.542570951585977,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.546744574290484,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.550918196994992,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
0.555091819699499,3.5,2.5,1.5,0.5,0,1.5,2.5,3.5,4.5
