mu,m_neg_3,m_neg_2,m_neg_1,m_0,m_1,m_2,m_3
0.393989983305509,2.74038312242555,1.74038312242555,0.740383122425547,0,1.25961687757445,2.25961687757445,3.25961687757445
0.397328881469115,2.73967522658696,1.73967522658696,0.739675226586958,0,1.26032477341304,2.26032477341304,3.26032477341304
0.400667779632721,2.73897118373018,1.73897118373018,0.738971183730184,0,1.26102881626982,2.26102881626982,3.26102881626982
0.404006677796327,2.73827123788444,1.73827123788444,0.738271237884444,0,1.26172876211556,2.26172876211556,3.26172876211556
0.407345575959933,2.73757563603805,1.73757563603805,0.73757563603805,0,1.26242436396195,2.26242436396195,3.26242436396195
0.410684474123539,2.73688462816541,1.73688462816541,0.736884628165411,0,1.26311537183459,2.26311537183459,3.26311537183459
0.414023372287145,2.73619846725295,1.73619846725295,0.736198467252947,0,1.26380153274705,2.26380153274705,3.26380153274705
0.417362270450751,2.73551754998938,1.73551754998938,0.735517549989378,0,1.26448245001062,2.26448245001062,3.26448245001062
0.420701168614357,2.73484197165473,1.73484197165473,0.734841971654733,0,1.26515802834527,2.26515802834527,3.26515802834527
0.424040066777963,2.73417197966776,1.73417197966776,0.734171979667763,0,1.26582802033224,2.26582802033224,3.26582802033224
0.427378964941569,2.73350782483315,1.73350782483315,0.73350782483315,0,1.26649217516685,2.26649217516685,3.26649217516685
0.430717863105175,2.73284975827501,1.73284975827501,0.732849758275007,0,1.26715024172499,2.26715024172499,3.26715024172499
0.434056761268781,2.73219803139854,1.73219803139854,0.732198031398544,0,1.26780196860146,2.26780196860146,3.26780196860146
0.437395659432387,2.73155289596249,1.73155289596249,0.73155289596249,0,1.26844710403751,2.26844710403751,3.26844710403751
0.440734557595993,2.73091460426426,1.73091460426426,0.730914604264264,0,1.26908539573574,2.26908539573574,3.26908539573574
0.444073455759599,2.73028340943614,1.73028340943614,0.730283409436137,0,1.26971659056386,2.26971659056386,3.26971659056386
0.447412353923205,2.72965956584722,1.72965956584722,0.729659565847218,0,1.27034043415278,2.27034043415278,3.27034043415278
0.450751252086811,2.72904332960305,1.72904332960306,0.729043329603055,0,1.27095667039694,2.27095667039695,3.27095667039695
0.454090150250417,2.72843495913199,1.72843495913199,0.728434959131992,0,1.27156504086801,2.27156504086801,3.27156504086801
0.457429048414023,2.72783471584523,1.72783471584523,0.727834715845233,0,1.27216528415477,2.27216528415477,3.27216528415477
0.460767946577629,2.7272428648558,1.7272428648558,0.727242864855804,0,1.2727571351442,2.2727571351442,3.2727571351442
0.464106844741235,2.72665967574029,1.72665967574029,0.72665967574029,0,1.27334032425971,2.27334032425971,3.27334032425971
